Supermercado,Mercadoria,Preço
Adtalem Global Education Inc.,Oil - Safflower,$6.20
Panhandle Royalty Company,Extract - Raspberry,$2.86
"NRG Yield, Inc.","Artichoke - Bottom, Canned",$10.01
"Sinovac Biotech, Ltd.",Parsley - Dried,$3.55
Synalloy Corporation,Cucumber - Pickling Ontario,$1.64
Deutsche Bank AG,Chevril,$4.06
"Analog Devices, Inc.",Container - Foam Dixie 12 Oz,$6.13
"Harte-Hanks, Inc.",Bread Bowl Plain,$5.46
Yingli Green Energy Holding Company Limited,Cheese - Mozzarella,$5.65
"BofI Holding, Inc.","Mushroom - Chanterelle, Dry",$9.28
